Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace,Avg Speed (mi/h),Max Speed,Avg Heart Rate,Steps,Notes,Source,Link
"Oct. 29, 2014","Oct. 27, 2014",Machine Workout,250,0,1800,0,0,0,0,,,,,http://www.mapmyrun.com/workout/780770033
"Oct. 26, 2014","Oct. 26, 2014",Machine Workout,501,0,3600,0,0,0,0,,,,,http://www.mapmyrun.com/workout/777383333
"Oct. 26, 2014","Oct. 24, 2014",Machine Workout,334,0,2400,0,0,0,0,,,,,http://www.mapmyrun.com/workout/777381821
"Oct. 23, 2014","Oct. 23, 2014",Machine Workout,501,0,3600,0,0,0,0,,,,,http://www.mapmyrun.com/workout/774388053
"Oct. 22, 2014","Oct. 21, 2014",Machine Workout,501,0,3600,0,0,0,0,,,,,http://www.mapmyrun.com/workout/773747383
"Oct. 21, 2014","Oct. 20, 2014",Machine Workout,250,0,1800,0,0,0,0,,,,,http://www.mapmyrun.com/workout/772471927
"Nov. 3, 2014","Oct. 19, 2014",Swim,238,0,2100,0,0,0,0,,0,,,http://www.mapmyrun.com/workout/785089009
"Nov. 3, 2014","Oct. 18, 2014",Indoor Swim,238,0,2100,0,0,0,0,,0,,,http://www.mapmyrun.com/workout/785087923
"Oct. 17, 2014","Oct. 16, 2014",Machine Workout,334,0,2400,0,0,0,0,,,,,http://www.mapmyrun.com/workout/768374479
"Oct. 15, 2014","Oct. 15, 2014",Machine Workout,334,0,2400,0,0,0,0,,,,,http://www.mapmyrun.com/workout/766650611
"Oct. 16, 2014","Oct. 14, 2014",Machine Workout,501,0,3600,0,0,0,0,,,,,http://www.mapmyrun.com/workout/767871351
"Oct. 14, 2014","Oct. 13, 2014",Machine Workout,544,0,3600,0,0,0,0,,0,,,http://www.mapmyrun.com/workout/765530189
"Oct. 12, 2014","Oct. 12, 2014",Machine Workout,668,0,4800,0,0,0,0,,,,,http://www.mapmyrun.com/workout/763455653
"Oct. 12, 2014","Oct. 11, 2014",Machine Workout,501,0,3600,0,0,0,0,,,,,http://www.mapmyrun.com/workout/763458683
"Oct. 12, 2014","Oct. 10, 2014",Machine Workout,544,0,3600,0,0,0,0,,0,,,http://www.mapmyrun.com/workout/763484699
"Oct. 12, 2014","Oct. 8, 2014",Indoor Swim,278,0,2100,0,0,0,0,,0,,,http://www.mapmyrun.com/workout/763486579
"Oct. 12, 2014","Oct. 7, 2014",Machine Workout,408,0,2700,0,0,0,0,,0,,,http://www.mapmyrun.com/workout/763488251
"Oct. 12, 2014","Oct. 6, 2014",Indoor Swim,198,0,1500,0,0,0,0,,0,,,http://www.mapmyrun.com/workout/763485769
"Oct. 5, 2014","Oct. 5, 2014",Indoor Swim,238,0,1800,0,0,0,0,,0,,,http://www.mapmyrun.com/workout/756165963
"Oct. 5, 2014","Oct. 4, 2014",Bike Ride,680,0,4500,0,0,0,0,135,0,,,http://www.mapmyrun.com/workout/755979899
"Oct. 4, 2014","Oct. 4, 2014",Indoor Swim,198,0,1500,0,0,0,0,,0,,,http://www.mapmyrun.com/workout/755225901
"Oct. 4, 2014","Oct. 3, 2014",Indoor Swim,238,0,1800,0,0,0,0,,0,,,http://www.mapmyrun.com/workout/755229737
"Oct. 3, 2014","Oct. 3, 2014",Machine Workout,250,0,1800,0,0,0,0,,,,,http://www.mapmyrun.com/workout/753886347
"Oct. 3, 2014","Oct. 2, 2014",Indoor Swim,204,0,1800,0,0,0,0,,0,,,http://www.mapmyrun.com/workout/754081713
"Oct. 2, 2014","Oct. 2, 2014",Machine Workout,334,0,2400,0,0,0,0,,,,,http://www.mapmyrun.com/workout/752793745
"Oct. 2, 2014","Oct. 1, 2014",Machine Workout,752,0,5400,0,0,0,0,,0,,,http://www.mapmyrun.com/workout/752613961
"Oct. 3, 2014","Sept. 30, 2014",Machine Workout,544,0,3600,0,0,0,0,,0,,,http://www.mapmyrun.com/workout/754084213
"Sept. 30, 2014","Sept. 30, 2014",Machine Workout,250,0,1800,0,0,0,0,,,,,http://www.mapmyrun.com/workout/750496551
"Sept. 29, 2014","Sept. 29, 2014",Machine Workout,250,0,1800,0,0,0,0,,0,,,http://www.mapmyrun.com/workout/749839783
"Sept. 29, 2014","Sept. 29, 2014",Machine Workout,752,0,5400,0,0,0,0,,0,,,http://www.mapmyrun.com/workout/749838893
"Sept. 28, 2014","Sept. 28, 2014",Machine Workout,501,0,3600,0,0,0,0,,,,,http://www.mapmyrun.com/workout/748721113
"Sept. 28, 2014","Sept. 28, 2014",Indoor Swim,146,0,1200,0,0,0,0,,,,,http://www.mapmyrun.com/workout/748435967
"Sept. 27, 2014","Sept. 27, 2014",Run / Jog,518,5.0,2160,7.2,0,8.33333,0,,,,,http://www.mapmyrun.com/workout/747593853
"Sept. 27, 2014","Sept. 27, 2014",Machine Workout,292,0,2100,0,0,0,0,,,,,http://www.mapmyrun.com/workout/747593639
"Sept. 27, 2014","Sept. 26, 2014",Run / Jog,1221,11.0,4620,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/747687479
"Sept. 27, 2014","Sept. 26, 2014",Run / Jog,408,4.0,1680,7.0,0,8.57143,0,,,,,http://www.mapmyrun.com/workout/747594143
"Sept. 25, 2014","Sept. 25, 2014",Run / Jog,613,6.0,2520,7.0,0,8.57143,0,,,,,http://www.mapmyrun.com/workout/745305925
"Sept. 25, 2014","Sept. 25, 2014",Run / Jog,313,3.0,1320,7.33333,0,8.18182,0,,,,,http://www.mapmyrun.com/workout/745304835
"Sept. 27, 2014","Sept. 24, 2014",Run / Jog,777,7.0,2940,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/747685915
"Sept. 27, 2014","Sept. 24, 2014",Run / Jog,333,3.0,1260,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/747685023
"Sept. 27, 2014","Sept. 23, 2014",Run / Jog,666,6.0,2520,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/747684591
"Sept. 27, 2014","Sept. 23, 2014",Run / Jog,333,3.0,1260,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/747684139
"Sept. 27, 2014","Sept. 22, 2014",Run / Jog,1332,12.0,5040,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/747683517
"Sept. 27, 2014","Sept. 22, 2014",Run / Jog,333,3.0,1260,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/747682439
"Sept. 22, 2014","Sept. 21, 2014",Run / Jog,333,3.0,1260,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/741137897
"Sept. 22, 2014","Sept. 21, 2014",Run / Jog,999,9.0,3780,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/741137131
"Sept. 22, 2014","Sept. 20, 2014",Run / Jog,333,3.0,1260,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/741136223
"Sept. 22, 2014","Sept. 20, 2014",Run / Jog,1353,12.0,4860,6.75,0,8.89,0,,0,,,http://www.mapmyrun.com/workout/741134497
"Sept. 22, 2014","Sept. 19, 2014",Run / Jog,777,7.0,2940,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/741132991
"Sept. 22, 2014","Sept. 19, 2014",Run / Jog,333,3.0,1260,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/741132027
"Sept. 22, 2014","Sept. 18, 2014",Run / Jog,777,7.0,2940,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/741130989
"Sept. 22, 2014","Sept. 18, 2014",Run / Jog,333,3.0,1260,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/741130221
"Sept. 22, 2014","Sept. 17, 2014",Run / Jog,1412,12.5,5040,6.72,0,8.93,0,,0,,,http://www.mapmyrun.com/workout/741125995
"Sept. 22, 2014","Sept. 17, 2014",Run / Jog,333,3.0,1260,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/741124537
"Sept. 22, 2014","Sept. 16, 2014",Run / Jog,888,8.0,3360,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/741123767
"Sept. 22, 2014","Sept. 16, 2014",Run / Jog,444,4.0,1680,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/741123039
"Sept. 15, 2014","Sept. 15, 2014",Run / Jog,1126,10.0,4060,6.77,0,8.87,0,,0,,,http://www.mapmyrun.com/workout/733201161
"Sept. 15, 2014","Sept. 15, 2014",Run / Jog,430,4.2,1772,7.03175,0,8.53273,0,,,,,http://www.mapmyrun.com/workout/732483915
"Sept. 14, 2014","Sept. 14, 2014",Run / Jog,333,3.0,1260,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/731800783
"Sept. 14, 2014","Sept. 14, 2014",Run / Jog,1446,13.0,5400,6.92,0,8.67,0,,0,,,http://www.mapmyrun.com/workout/731714385
"Sept. 13, 2014","Sept. 13, 2014",Run / Jog,333,3.0,1260,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/730807179
"Sept. 13, 2014","Sept. 13, 2014",Run / Jog,635,10.0,4200,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/730806607
"Sept. 13, 2014","Sept. 12, 2014",Run / Jog,333,3.0,1260,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/730804259
"Sept. 13, 2014","Sept. 12, 2014",Run / Jog,777,7.0,2940,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/730802369
"Sept. 13, 2014","Sept. 11, 2014",Run / Jog,1110,10.0,4200,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/730803519
"Sept. 13, 2014","Sept. 11, 2014",Run / Jog,333,3.0,1260,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/730803181
"Sept. 13, 2014","Sept. 10, 2014",Run / Jog,445,7.0,2940,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/730802815
"Sept. 13, 2014","Sept. 10, 2014",Run / Jog,444,4.0,1680,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/730802137
"Sept. 13, 2014","Sept. 9, 2014",Run / Jog,333,3.0,1260,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/730801851
"Sept. 10, 2014","Sept. 8, 2014",Run / Jog,827,8.0,3120,6.5,0,9.23077,0,,,,,http://www.mapmyrun.com/workout/726215277
"Sept. 8, 2014","Sept. 8, 2014",Run / Jog,343,3.0,1380,7.67,0,7.83,0,,0,,,http://www.mapmyrun.com/workout/724457959
"Sept. 8, 2014","Sept. 8, 2014",Run / Jog,999,9.0,3780,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/724454691
"Sept. 7, 2014","Sept. 7, 2014",Run / Jog,338,3.0,1480,8.22,0,7.3,0,,0,,,http://www.mapmyrun.com/workout/722933243
"Sept. 7, 2014","Sept. 7, 2014",Run / Jog,1449,14.0,5700,6.78571,0,8.8421,0,,,,,http://www.mapmyrun.com/workout/722336077
"Sept. 7, 2014","Sept. 6, 2014",Run / Jog,444,4.0,1680,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/722858411
"Sept. 7, 2014","Sept. 6, 2014",Run / Jog,1004,9.0,3720,6.89,0,8.71,0,,0,,,http://www.mapmyrun.com/workout/722856203
"Sept. 5, 2014","Sept. 5, 2014",Run / Jog,570,5.0,2220,7.4,0,8.11,0,,0,,,http://www.mapmyrun.com/workout/720350797
"Sept. 5, 2014","Sept. 5, 2014",Run / Jog,910,8.2,3420,6.95,0,8.63,0,,0,,,http://www.mapmyrun.com/workout/720350129
"Sept. 4, 2014","Sept. 4, 2014",Run / Jog,310,3.0,1500,8.33333,0,7.2,0,,,,,http://www.mapmyrun.com/workout/719310541
"Sept. 4, 2014","Sept. 4, 2014",Run / Jog,722,7.0,3000,7.14286,0,8.4,0,,,,,http://www.mapmyrun.com/workout/719310063
"Sept. 4, 2014","Sept. 3, 2014",Run / Jog,770,7.5,3180,7.06667,0,8.49057,0,,,,,http://www.mapmyrun.com/workout/719313509
"Sept. 5, 2014","Sept. 2, 2014",Run / Jog,999,9.0,3780,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/720348523
"Sept. 5, 2014","Sept. 2, 2014",Run / Jog,341,3.0,1320,7.33,0,8.18,0,,0,,,http://www.mapmyrun.com/workout/720347879
"Sept. 4, 2014","Sept. 2, 2014",Run / Jog,416,4.0,1740,7.25,0,8.27586,0,,,,,http://www.mapmyrun.com/workout/719311571
"Sept. 2, 2014","Sept. 1, 2014",Run / Jog,1021,9.2,3840,6.96,0,8.63,0,,0,,,http://www.mapmyrun.com/workout/715970565
"Sept. 1, 2014","Sept. 1, 2014",Run / Jog,422,4.0,1795,7.47917,0,8.02228,0,,,,,http://www.mapmyrun.com/workout/715214607
"Sept. 7, 2014","Aug. 31, 2014",Run / Jog,444,4.0,1260,5.25,0,11.43,0,,0,,,http://www.mapmyrun.com/workout/722934259
"Aug. 31, 2014","Aug. 31, 2014",Run / Jog,1075,9.5,3780,6.63,0,9.05,0,,0,,,http://www.mapmyrun.com/workout/713427287
"Aug. 31, 2014","Aug. 30, 2014",Run / Jog,622,5.5,2400,7.27,0,8.25,0,,0,,,http://www.mapmyrun.com/workout/713424155
"Aug. 31, 2014","Aug. 30, 2014",Run / Jog,1463,13.0,5280,6.77,0,8.86,0,,0,,,http://www.mapmyrun.com/workout/713421923
"Aug. 29, 2014","Aug. 29, 2014",Run / Jog,772,7.5,3199,7.10889,0,8.44014,0,,,,,http://www.mapmyrun.com/workout/710906543
"Aug. 29, 2014","Aug. 29, 2014",Run / Jog,416,4.0,1956,8.15,0,7.36196,0,,,,,http://www.mapmyrun.com/workout/710223063
"Aug. 28, 2014","Aug. 28, 2014",Run / Jog,423,4.0,1800,7.5,0,8.0,0,,,,,http://www.mapmyrun.com/workout/709892587
"Aug. 28, 2014","Aug. 28, 2014",Run / Jog,1034,10.0,4077,6.795,0,8.83002,0,,,,,http://www.mapmyrun.com/workout/709892391
"Aug. 28, 2014","Aug. 27, 2014",Run / Jog,832,8.0,3480,7.25,0,8.27586,0,,,,,http://www.mapmyrun.com/workout/709893743
"Aug. 28, 2014","Aug. 27, 2014",Run / Jog,413,4.0,1560,6.5,0,9.23077,0,,,,,http://www.mapmyrun.com/workout/709893241
"Aug. 26, 2014","Aug. 26, 2014",Run / Jog,572,5.0,2300,7.67,0,7.83,0,,0,,,http://www.mapmyrun.com/workout/706810553
"Aug. 26, 2014","Aug. 26, 2014",Run / Jog,672,6.0,2325,6.46,0,9.29,0,,0,,,http://www.mapmyrun.com/workout/706805301
"Aug. 26, 2014","Aug. 25, 2014",Run / Jog,555,5.0,2100,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/706814589
"Aug. 25, 2014","Aug. 25, 2014",Run / Jog,761,7.2,3240,7.5,0,8.0,0,,,,,http://www.mapmyrun.com/workout/704595149
